,actions,states,ts
0,2,0,18
1,2,0,20
2,0,1,17
3,0,1,19
4,1,1,21
5,2,1,22
6,2,1,28
7,1,1,30
8,1,1,31
9,2,1,32
10,2,1,49
11,1,2,12
12,1,2,13
13,1,2,14
14,1,2,15
15,0,2,16
16,2,2,23
17,0,2,27
18,0,2,29
19,2,2,33
20,1,2,44
21,2,2,45
22,0,2,48
23,2,2,50
24,0,3,11
25,1,3,24
26,1,3,25
27,1,3,26
28,0,3,26
29,2,3,34
30,2,3,36
31,1,3,38
32,1,3,39
33,1,3,40
34,2,3,41
35,0,3,43
36,1,3,46
37,0,3,47
38,0,4,10
39,0,4,35
40,0,4,37
41,0,4,42
42,2,5,7
43,0,5,9
44,1,6,5
45,0,6,6
46,0,6,8
47,2,7,2
48,0,7,4
49,0,8,0
50,0,8,1
51,0,8,3
