,actions,states,ts
0,2,2,19
1,2,2,23
2,1,3,12
3,1,3,13
4,1,3,14
5,1,3,15
6,1,3,16
7,1,3,17
8,0,3,18
9,2,3,20
10,0,3,22
11,1,3,24
12,1,3,25
13,1,3,26
14,1,3,27
15,1,3,28
16,1,3,29
17,1,4,10
18,0,4,11
19,0,4,21
20,0,5,9
21,1,6,7
22,0,6,8
23,0,7,6
24,0,8,0
25,1,8,1
26,2,8,2
27,1,8,4
28,0,8,5
29,0,9,3
