,actions,states,ts
0,1,1,12
1,2,1,13
2,0,2,11
3,2,2,14
4,2,2,17
5,2,2,22
6,1,3,8
7,1,3,9
8,0,3,10
9,1,3,15
10,0,3,16
11,1,3,18
12,1,3,19
13,1,3,20
14,0,3,21
15,2,3,23
16,1,3,25
17,1,3,26
18,2,3,27
19,1,3,29
20,1,3,30
21,1,3,31
22,1,3,32
23,0,4,7
24,0,4,24
25,0,4,28
26,0,5,6
27,0,6,5
28,0,7,4
29,0,8,0
30,2,8,1
31,0,8,3
32,0,9,2
