,actions,states,ts
0,1,2,26
1,2,2,27
2,0,3,25
3,1,3,28
4,1,3,29
5,2,3,30
6,1,3,34
7,2,3,35
8,1,3,37
9,1,3,38
10,1,3,39
11,2,3,40
12,1,3,44
13,1,3,44
14,2,3,45
15,1,3,47
16,1,3,48
17,1,3,49
18,2,3,50
19,0,4,24
20,2,4,31
21,0,4,33
22,0,4,36
23,2,4,41
24,0,4,43
25,0,4,46
26,0,5,23
27,0,5,32
28,0,5,42
29,2,6,8
30,0,6,22
31,0,7,7
32,2,7,9
33,2,7,11
34,2,7,19
35,0,7,21
36,0,8,0
37,2,8,1
38,2,8,3
39,1,8,5
40,0,8,6
41,0,8,10
42,2,8,12
43,2,8,16
44,0,8,18
45,0,8,20
46,0,9,2
47,0,9,4
48,2,9,13
49,0,9,15
50,0,9,17
51,0,10,14
