Unnamed: 0,actions,states,trial,ts
18,1,3,9,25
39,0,8,10,0
40,1,8,10,1
41,2,8,10,2
45,0,9,10,3
42,0,8,10,4
33,0,7,10,5
27,2,6,10,6
34,0,7,10,7
28,0,6,10,8
20,0,5,10,9
11,0,4,10,10
3,2,3,10,11
12,1,4,10,12
13,0,4,10,13
4,0,3,10,14
0,2,2,10,15
5,0,3,10,16
1,2,2,10,17
6,0,3,10,18
2,2,2,10,19
7,2,3,10,20
14,2,4,10,21
21,1,5,10,22
22,1,5,10,23
23,0,5,10,24
15,0,4,10,25
8,2,3,10,26
16,2,4,10,27
24,2,5,10,28
29,0,6,10,29
25,0,5,10,30
17,0,4,10,31
9,2,3,10,32
18,0,4,10,33
10,2,3,10,34
19,2,4,10,35
26,2,5,10,36
30,2,6,10,37
35,1,7,10,38
36,0,7,10,39
31,2,6,10,40
37,0,7,10,41
32,2,6,10,42
38,2,7,10,43
43,2,8,10,44
46,2,9,10,45
48,2,10,10,46
50,0,11,10,47
49,0,10,10,48
47,0,9,10,49
44,1,8,10,50
26,0,8,11,0
27,0,8,11,1
25,0,7,11,2
24,0,6,11,3
22,1,5,11,4
23,0,5,11,5
20,0,4,11,6
6,1,3,11,7
7,1,3,11,8
8,1,3,11,9
9,1,3,11,10
10,1,3,11,11
11,0,3,11,12
2,0,2,11,13
0,2,1,11,14
3,1,2,11,15
4,0,2,11,16
1,2,1,11,17
5,2,2,11,18
12,1,3,11,19
13,1,3,11,20
14,1,3,11,21
15,1,3,11,22
16,1,3,11,23
17,2,3,11,24
21,0,4,11,25
18,1,3,11,26
19,1,3,11,27
45,0,8,12,0
46,2,8,12,1
51,0,9,12,2
47,0,8,12,3
43,2,7,12,4
48,1,8,12,5
49,1,8,12,6
50,0,8,12,7
44,0,7,12,8
42,0,6,12,9
40,0,5,12,10
30,0,4,12,11
16,0,3,12,12
0,1,2,12,13
1,1,2,12,14
2,2,2,12,15
17,2,3,12,16
31,1,4,12,17
32,1,4,12,18
33,0,4,12,19
18,0,3,12,20
3,1,2,12,21
4,1,2,12,22
5,2,2,12,23
19,2,3,12,24
34,2,4,12,25
41,0,5,12,26
35,0,4,12,27
20,0,3,12,28
6,1,2,12,29
7,1,2,12,30
8,2,2,12,31
21,2,3,12,32
36,1,4,12,33
37,0,4,12,34
22,0,3,12,35
9,1,2,12,36
10,1,2,12,37
11,1,2,12,38
12,2,2,12,39
23,2,3,12,40
38,1,4,12,41
39,0,4,12,42
24,0,3,12,43
13,1,2,12,44
14,1,2,12,45
15,2,2,12,46
25,1,3,12,47
26,1,3,12,47
27,1,3,12,48
28,1,3,12,49
29,1,3,12,50
26,0,8,13,0
27,0,8,13,1
24,1,7,13,2
25,0,7,13,3
23,0,6,13,4
22,0,5,13,5
21,0,4,13,6
6,0,3,13,7
2,2,2,13,8
7,0,3,13,9
3,1,2,13,10
4,0,2,13,11
0,1,1,13,12
1,2,1,13,13
5,2,2,13,14
8,1,3,13,15
9,1,3,13,16
10,1,3,13,17
11,1,3,13,18
12,1,3,13,19
13,1,3,13,20
14,1,3,13,21
15,1,3,13,22
16,1,3,13,23
17,1,3,13,24
18,1,3,13,25
19,1,3,13,26
20,1,3,13,33
24,0,8,14,0
25,0,8,14,1
23,0,7,14,2
22,0,6,14,3
21,0,5,14,4
19,0,4,14,5
4,1,3,14,6
5,1,3,14,7
6,0,3,14,8
0,1,2,14,9
1,1,2,14,10
2,2,2,14,11
7,1,3,14,12
8,1,3,14,13
9,2,3,14,14
20,0,4,14,15
10,0,3,14,16
3,2,2,14,17
11,1,3,14,18
12,1,3,14,19
13,1,3,14,20
14,1,3,14,21
15,1,3,14,22
16,1,3,14,23
17,1,3,14,24
18,1,3,14,25
45,0,8,15,0
46,0,8,15,1
44,0,7,15,2
43,0,6,15,3
42,0,5,15,4
40,0,4,15,5
21,0,3,15,6
14,1,2,15,7
15,1,2,15,8
16,1,2,15,9
17,1,2,15,10
18,1,2,15,11
19,0,2,15,12
10,0,1,15,13
0,2,0,15,14
11,1,1,15,15
12,0,1,15,16
1,0,0,15,17
2,1,0,15,18
3,1,0,15,19
4,1,0,15,20
5,1,0,15,21
6,1,0,15,22
7,1,0,15,23
8,1,0,15,24
9,2,0,15,25
13,2,1,15,26
20,2,2,15,27
22,1,3,15,28
23,1,3,15,29
24,1,3,15,30
25,1,3,15,31
26,1,3,15,32
27,1,3,15,33
28,1,3,15,34
29,1,3,15,35
30,1,3,15,36
31,1,3,15,37
32,1,3,15,38
33,1,3,15,39
34,1,3,15,40
35,2,3,15,41
41,0,4,15,42
36,1,3,15,43
37,1,3,15,44
38,1,3,15,45
39,1,3,15,46
24,0,8,16,0
25,2,8,16,1
27,0,9,16,2
26,0,8,16,3
23,0,7,16,4
22,0,6,16,5
20,1,5,16,6
21,0,5,16,7
18,0,4,16,8
4,2,3,16,9
19,0,4,16,10
5,1,3,16,11
6,1,3,16,12
7,1,3,16,13
8,1,3,16,14
9,0,3,16,15
2,0,2,16,16
0,1,1,16,17
1,2,1,16,18
3,2,2,16,19
10,1,3,16,20
11,1,3,16,21
12,1,3,16,22
13,1,3,16,23
14,1,3,16,24
15,1,3,16,24
16,1,3,16,25
17,1,3,16,26
23,0,8,17,0
24,1,8,17,1
25,1,8,17,2
26,0,8,17,3
20,0,7,17,4
18,2,6,17,5
21,1,7,17,6
22,0,7,17,7
19,0,6,17,8
17,0,5,17,9
16,0,4,17,10
2,1,3,17,11
3,1,3,17,12
4,1,3,17,13
5,1,3,17,14
6,1,3,17,15
7,1,3,17,16
8,0,3,17,17
0,2,2,17,18
9,1,3,17,19
10,1,3,17,20
11,1,3,17,21
12,1,3,17,22
13,0,3,17,23
1,2,2,17,24
14,1,3,17,25
15,1,3,17,26
49,0,8,18,0
50,1,8,18,1
51,0,8,18,2
47,0,7,18,3
44,1,6,18,4
45,2,6,18,5
48,0,7,18,6
46,0,6,18,7
42,0,5,18,8
33,1,4,18,9
34,0,4,18,10
17,0,3,18,11
7,1,2,18,12
8,0,2,18,13
3,0,1,18,14
0,0,0,18,15
1,0,0,18,16
2,2,0,18,17
4,2,1,18,18
9,2,2,18,19
18,2,3,18,20
35,1,4,18,21
36,0,4,18,22
19,1,3,18,23
20,1,3,18,24
21,1,3,18,25
22,1,3,18,26
23,0,3,18,27
24,1,3,18,27
25,0,3,18,28
10,1,2,18,29
11,0,2,18,30
5,2,1,18,31
12,0,2,18,32
6,2,1,18,33
13,2,2,18,34
26,2,3,18,35
37,0,4,18,36
27,2,3,18,37
38,0,4,18,38
28,1,3,18,39
29,2,3,18,40
39,2,4,18,41
43,0,5,18,42
40,0,4,18,43
30,2,3,18,44
41,0,4,18,45
31,0,3,18,46
14,1,2,18,47
15,2,2,18,48
32,0,3,18,49
16,1,2,18,50
26,0,8,19,0
27,1,8,19,1
28,2,8,19,2
30,0,9,19,3
29,0,8,19,4
25,0,7,19,5
24,0,6,19,6
23,0,5,19,7
19,0,4,19,8
4,1,3,19,9
5,1,3,19,10
