,er_80,er_90,er_95,ts_80,ts_90,ts_95
0,0.300000011921,0.272727280855,0.280000001192,20.0,22.0,25.0
1,0.277777791023,0.25,0.227272734046,18.0,20.0,22.0
2,0.111111111939,0.10000000149,0.125,18.0,20.0,24.0
3,0.166666671634,0.15000000596,0.181818187237,18.0,20.0,22.0
4,0.0714285746217,0.125,0.217391297221,14.0,16.0,23.0
5,0.263157904148,0.238095238805,0.344827592373,19.0,21.0,29.0
6,0.375,0.360000014305,0.395348846912,24.0,25.0,43.0
7,0.322580635548,0.3125,0.303030312061,31.0,32.0,33.0
8,0.428571432829,,,49.0,,
9,0.25,0.269230782986,0.25,24.0,26.0,32.0
10,0.133333340287,0.117647059262,0.15000000596,15.0,17.0,20.0
11,0.395833343267,0.387755095959,,48.0,49.0,
12,0.272727280855,0.25,0.269230782986,22.0,24.0,26.0
13,0.370370358229,0.344827592373,0.322580635548,27.0,29.0,31.0
14,0.238095238805,0.217391297221,0.230769231915,21.0,23.0,26.0
15,0.25,0.227272734046,0.322580635548,20.0,22.0,31.0
16,,,,,,
17,0.227272734046,0.208333328366,0.20000000298,22.0,24.0,25.0
18,0.20000000298,0.296296298504,0.333333343267,15.0,27.0,33.0
19,0.263157904148,0.272727280855,0.25,19.0,22.0,28.0
20,0.1875,0.272727280855,0.351351350546,16.0,22.0,37.0
21,0.238095238805,0.25,0.230769231915,21.0,24.0,26.0
22,0.296296298504,0.290322571993,0.28125,27.0,31.0,32.0
23,0.25,0.227272734046,0.239999994636,20.0,22.0,25.0
24,0.142857149243,0.20000000298,0.190476194024,14.0,20.0,21.0
25,0.344827592373,0.34375,0.352941185236,29.0,32.0,34.0
26,0.0714285746217,0.111111111939,0.142857149243,14.0,18.0,21.0
27,0.318181812763,0.304347813129,0.291666656733,22.0,23.0,24.0
28,0.235294118524,0.210526317358,0.238095238805,17.0,19.0,21.0
29,0.414634138346,0.391304343939,0.375,41.0,46.0,48.0
30,0.277777791023,0.238095238805,0.304347813129,18.0,21.0,23.0
31,0.266666680574,0.304347813129,0.319999992847,15.0,23.0,25.0
32,0.176470592618,0.217391297221,0.285714298487,17.0,23.0,28.0
33,,,,,,
34,0.384615391493,0.357142865658,0.384615391493,26.0,28.0,39.0
35,0.361111104488,0.351351350546,0.377777785063,36.0,37.0,45.0
36,0.29411765933,0.263157904148,0.238095238805,17.0,19.0,21.0
37,0.214285716414,0.1875,0.166666671634,14.0,16.0,18.0
38,0.365853667259,0.375,0.367346942425,41.0,48.0,49.0
39,0.20000000298,0.181818187237,0.208333328366,20.0,22.0,24.0
40,0.153846159577,0.1875,0.210526317358,13.0,16.0,19.0
41,0.285714298487,0.291666656733,0.280000001192,21.0,24.0,25.0
42,0.342105269432,0.324999988079,0.309523820877,38.0,40.0,42.0
43,0.333333343267,0.3125,0.303030312061,30.0,32.0,33.0
44,0.285714298487,0.291666656733,0.269230782986,21.0,24.0,26.0
45,0.111111111939,0.10000000149,0.130434781313,18.0,20.0,23.0
46,0.275862067938,0.258064508438,0.242424249649,29.0,31.0,33.0
47,0.166666671634,0.15000000596,0.192307695746,18.0,20.0,26.0
48,0.352941185236,0.333333343267,0.315789461136,34.0,36.0,38.0
49,0.20000000298,0.227272734046,0.217391297221,20.0,22.0,23.0
50,0.391304343939,0.39393940568,0.382352948189,23.0,33.0,34.0
51,0.370370358229,0.357142865658,0.333333343267,27.0,28.0,30.0
52,0.347826093435,0.319999992847,0.296296298504,23.0,25.0,27.0
53,0.235294118524,0.20000000298,0.181818187237,17.0,20.0,22.0
54,0.307692319155,0.333333343267,0.3125,26.0,30.0,32.0
55,0.210526317358,0.190476194024,0.208333328366,19.0,21.0,24.0
56,0.25,0.333333343267,0.307692319155,16.0,24.0,26.0
57,0.333333343267,0.34375,0.323529422283,30.0,32.0,34.0
58,0.321428567171,0.300000011921,0.28125,28.0,30.0,32.0
59,0.272727280855,0.25,0.230769231915,22.0,24.0,26.0
60,0.310344815254,0.300000011921,0.315789461136,29.0,30.0,38.0
61,0.414634138346,0.404761910439,,41.0,42.0,
62,0.344827592373,0.322580635548,0.34375,29.0,31.0,32.0
63,0.235294118524,0.210526317358,0.371428579092,17.0,19.0,35.0
64,0.333333343267,0.315789461136,0.300000011921,36.0,38.0,40.0
65,0.25,0.300000011921,0.285714298487,16.0,20.0,21.0
66,0.20000000298,0.176470592618,0.157894730568,15.0,17.0,19.0
67,0.333333343267,0.300000011921,0.346153855324,18.0,20.0,26.0
68,0.395348846912,0.377777785063,,43.0,45.0,
69,0.272727280855,0.280000001192,0.275862067938,22.0,25.0,29.0
70,0.25,0.272727280855,0.25,20.0,22.0,28.0
71,0.210526317358,0.25,0.239999994636,19.0,24.0,25.0
72,0.321428567171,0.300000011921,0.29411765933,28.0,30.0,34.0
73,0.363636374474,0.352941185236,0.342857152224,33.0,34.0,35.0
74,0.117647059262,0.105263158679,0.142857149243,17.0,19.0,21.0
75,0.222222223878,0.238095238805,0.230769231915,18.0,21.0,26.0
76,0.333333343267,0.307692319155,0.285714298487,24.0,26.0,28.0
77,0.210526317358,0.238095238805,0.222222223878,19.0,21.0,27.0
78,0.142857149243,0.208333328366,0.192307695746,14.0,24.0,26.0
79,0.285714298487,0.25925925374,0.285714298487,21.0,27.0,28.0
80,0.263157904148,0.25,0.238095238805,19.0,20.0,21.0
81,0.34999999404,0.333333343267,0.333333343267,20.0,21.0,24.0
82,0.333333343267,0.322580635548,0.3125,27.0,31.0,32.0
83,0.266666680574,0.333333343267,0.34999999404,15.0,18.0,20.0
84,0.25925925374,0.266666680574,0.258064508438,27.0,30.0,31.0
85,0.300000011921,0.272727280855,0.25,20.0,22.0,24.0
86,0.465116292238,0.466666668653,0.446808516979,43.0,45.0,47.0
87,0.40000000596,0.380952388048,0.375,40.0,42.0,48.0
88,0.347826093435,0.333333343267,0.321428567171,23.0,27.0,28.0
89,0.40000000596,0.410256415606,0.40000000596,35.0,39.0,45.0
90,0.371428579092,0.351351350546,0.333333343267,35.0,37.0,39.0
91,0.272727280855,0.25,0.230769231915,22.0,24.0,26.0
92,0.263157904148,0.272727280855,0.25,19.0,22.0,24.0
93,0.354838699102,0.361111104488,0.368421047926,31.0,36.0,38.0
94,0.272727280855,0.291666656733,0.25925925374,22.0,24.0,27.0
95,0.263157904148,0.260869562626,0.25,19.0,23.0,24.0
96,0.227272734046,0.25,0.239999994636,22.0,24.0,25.0
97,0.371428579092,0.368421047926,0.35897436738,35.0,38.0,39.0
98,0.377777785063,0.391304343939,,45.0,46.0,
