,actions,states,trial,ts
278,1,3,3,77
279,1,3,3,78
280,1,3,3,79
281,1,3,3,80
282,1,3,3,81
283,1,3,3,82
284,1,3,3,83
285,1,3,3,84
286,1,3,3,85
287,1,3,3,86
288,0,3,3,87
289,2,2,3,88
290,0,3,3,89
291,2,2,3,90
292,1,3,3,91
293,0,3,3,92
294,2,2,3,93
295,0,3,3,94
296,2,2,3,95
297,1,3,3,96
298,0,3,3,97
299,1,2,3,98
300,2,2,3,99
301,0,5,3,100
302,0,8,4,0
303,0,8,4,1
304,0,7,4,2
305,0,6,4,3
306,0,5,4,4
307,0,4,4,5
308,0,3,4,6
309,2,2,4,7
310,1,3,4,8
311,1,3,4,9
312,1,3,4,10
313,0,3,4,11
314,2,2,4,12
315,2,3,4,13
316,0,4,4,14
317,2,3,4,15
318,0,4,4,16
319,1,3,4,17
320,1,3,4,18
321,2,3,4,19
322,0,4,4,20
323,1,3,4,21
324,0,3,4,22
325,2,2,4,23
326,2,3,4,24
327,0,4,4,25
328,1,3,4,26
329,1,3,4,27
330,1,3,4,28
331,1,3,4,29
332,0,3,4,30
333,1,2,4,31
334,0,2,4,32
335,2,1,4,33
336,1,2,4,34
337,0,2,4,35
338,1,1,4,36
339,2,1,4,37
340,2,2,4,38
341,0,3,4,39
342,1,2,4,40
343,2,2,4,41
344,2,3,4,42
345,0,4,4,43
346,0,3,4,44
347,2,2,4,45
348,0,3,4,46
349,2,2,4,47
350,0,3,4,48
351,2,2,4,49
352,1,3,4,50
353,1,3,4,51
354,1,3,4,52
355,1,3,4,53
356,0,3,4,54
357,1,2,4,55
358,2,2,4,56
359,1,3,4,57
360,1,3,4,58
361,1,3,4,59
362,0,3,4,60
363,2,2,4,61
364,2,3,4,62
365,0,4,4,63
366,2,3,4,64
367,0,4,4,65
368,1,3,4,66
369,1,3,4,67
370,1,3,4,68
371,0,3,4,69
372,2,2,4,70
373,0,3,4,71
374,2,2,4,72
375,1,3,4,73
376,1,3,4,74
377,0,3,4,75
378,2,2,4,76
379,1,3,4,77
380,1,3,4,78
381,0,3,4,79
382,2,2,4,80
383,0,3,4,81
384,2,2,4,82
385,2,3,4,83
386,1,4,4,84
387,0,4,4,85
388,1,3,4,86
389,1,3,4,87
390,1,3,4,88
391,1,3,4,89
392,1,3,4,90
393,1,3,4,91
394,1,3,4,92
395,1,3,4,93
396,1,3,4,94
397,0,3,4,95
398,0,2,4,96
399,2,1,4,97
400,2,2,4,98
401,1,3,4,99
402,1,3,4,100
403,0,8,5,0
404,1,8,5,1
405,0,8,5,2
406,0,7,5,3
407,2,6,5,4
408,0,7,5,5
409,0,6,5,6
410,1,5,5,7
411,0,5,5,8
412,0,4,5,9
413,1,3,5,10
414,1,3,5,11
415,1,3,5,12
416,1,3,5,13
417,1,3,5,14
418,1,3,5,15
419,1,3,5,16
420,0,3,5,17
421,2,2,5,18
422,2,3,5,19
423,1,4,5,20
424,0,4,5,21
425,1,3,5,22
426,2,3,5,23
427,2,4,5,24
428,0,5,5,25
429,0,4,5,26
430,1,3,5,27
431,1,3,5,28
432,1,3,5,29
433,2,3,5,30
434,2,4,5,31
435,0,5,5,32
436,2,4,5,33
437,0,5,5,34
438,0,4,5,35
439,1,3,5,36
440,1,3,5,37
441,1,3,5,38
442,1,3,5,39
443,2,3,5,40
444,0,4,5,41
445,1,3,5,42
446,1,3,5,43
447,1,3,5,44
448,1,3,5,45
449,1,3,5,46
450,2,3,5,47
451,2,4,5,48
452,0,5,5,49
453,0,4,5,50
454,1,3,5,51
455,1,3,5,52
456,1,3,5,53
457,0,3,5,54
458,0,2,5,55
459,2,1,5,56
460,2,2,5,57
461,1,3,5,58
462,1,3,5,59
463,0,3,5,60
464,2,2,5,61
465,1,3,5,62
466,1,3,5,63
467,0,3,5,64
468,1,2,5,65
469,2,2,5,66
470,1,3,5,67
471,1,3,5,68
472,1,3,5,69
473,1,3,5,70
474,1,3,5,71
475,1,3,5,72
476,1,3,5,73
477,1,3,5,74
478,1,3,5,75
479,0,3,5,76
480,1,2,5,77
481,2,2,5,78
482,1,3,5,79
483,1,3,5,80
484,1,3,5,81
485,1,3,5,82
486,1,3,5,83
487,0,3,5,84
488,2,2,5,85
489,0,3,5,86
490,2,2,5,87
491,2,3,5,88
492,0,4,5,89
493,1,3,5,90
494,2,3,5,91
495,0,4,5,92
496,0,3,5,93
497,2,2,5,94
498,1,3,5,95
499,1,3,5,96
500,1,3,5,97
501,2,3,5,98
502,1,4,5,99
503,1,3,5,100
504,0,8,6,0
505,0,8,6,1
506,0,7,6,2
507,0,6,6,3
508,0,5,6,4
509,0,4,6,5
510,1,3,6,6
511,1,3,6,7
512,1,3,6,8
513,0,3,6,9
514,2,2,6,10
515,1,3,6,11
516,1,3,6,12
517,1,3,6,13
518,1,3,6,14
519,1,3,6,15
520,1,3,6,16
521,1,3,6,17
522,1,3,6,18
523,1,3,6,19
524,1,3,6,20
525,2,3,6,21
526,0,4,6,22
527,1,3,6,23
528,1,3,6,24
529,1,3,6,25
530,2,3,6,26
531,2,4,6,27
532,0,5,6,28
533,2,4,6,29
534,0,5,6,30
535,0,4,6,31
536,1,3,6,32
537,1,3,6,33
538,1,3,6,34
539,1,3,6,35
540,0,3,6,36
541,2,2,6,37
542,1,3,6,38
543,1,3,6,39
544,1,3,6,40
545,1,3,6,41
546,2,3,6,42
547,0,4,6,43
548,2,3,6,44
549,1,4,6,45
550,0,4,6,46
551,0,3,6,47
552,1,2,6,48
553,2,2,6,49
554,1,3,6,50
555,1,3,6,51
556,0,3,6,52
557,0,2,6,53
558,2,1,6,54
559,2,2,6,55
560,1,3,6,56
561,1,3,6,57
562,1,3,6,58
563,1,3,6,59
564,1,3,6,60
565,1,3,6,61
566,1,3,6,62
567,1,3,6,63
568,1,3,6,64
569,1,3,6,65
570,0,3,6,66
571,2,2,6,67
572,1,3,6,68
573,1,3,6,69
574,1,3,6,70
575,0,3,6,71
576,1,2,6,72
577,2,2,6,73
578,1,3,6,74
579,1,3,6,75
580,1,3,6,76
581,1,3,6,77
582,1,3,6,78
583,0,3,6,79
584,2,2,6,80
585,2,3,6,81
586,0,4,6,82
587,2,3,6,83
588,2,4,6,84
589,2,5,6,85
590,1,6,6,86
591,0,6,6,87
592,0,5,6,88
593,2,4,6,89
594,0,5,6,90
595,0,4,6,91
596,1,3,6,92
597,1,3,6,93
598,1,3,6,94
599,2,3,6,95
600,0,4,6,96
601,2,3,6,97
602,2,4,6,98
603,0,5,6,99
604,0,4,6,100
605,0,8,7,0
606,1,8,7,1
607,0,8,7,2
608,0,7,7,3
609,0,6,7,4
610,0,5,7,5
611,0,4,7,6
612,1,3,7,7
613,1,3,7,8
614,1,3,7,9
615,1,3,7,10
616,1,3,7,11
617,1,3,7,12
618,1,3,7,13
619,1,3,7,14
620,1,3,7,15
621,1,3,7,16
622,1,3,7,17
623,0,3,7,18
624,1,2,7,19
625,2,2,7,20
626,1,3,7,21
627,0,3,7,22
628,2,2,7,23
629,1,3,7,24
630,1,3,7,25
631,1,3,7,26
632,2,3,7,27
633,2,4,7,28
634,0,5,7,29
635,1,4,7,30
636,0,4,7,31
637,1,3,7,32
638,1,3,7,33
639,1,3,7,34
640,0,3,7,35
641,1,2,7,36
642,0,2,7,37
643,0,1,7,38
644,2,0,7,39
645,0,1,7,40
646,2,0,7,41
