,actions,states,trial,ts
278,2,2,3,77
279,0,3,3,78
280,1,2,3,79
281,2,2,3,80
282,1,3,3,81
283,1,3,3,82
284,2,3,3,83
285,2,4,3,84
286,1,5,3,85
287,2,5,3,86
288,0,6,3,87
289,1,5,3,88
290,0,5,3,89
291,0,4,3,90
292,0,3,3,91
293,2,2,3,92
294,1,3,3,93
295,2,3,3,94
296,0,4,3,95
297,0,3,3,96
298,0,2,3,97
299,2,1,3,98
300,2,2,3,99
301,2,2,3,100
302,0,8,4,0
303,1,8,4,1
304,0,8,4,2
305,0,7,4,3
306,0,6,4,4
307,1,5,4,5
308,0,5,4,6
309,0,4,4,7
310,1,3,4,8
311,2,3,4,9
312,0,4,4,10
313,1,3,4,11
314,1,3,4,12
315,1,3,4,13
316,0,3,4,14
317,2,2,4,15
318,2,3,4,16
319,0,4,4,17
320,1,3,4,18
321,1,3,4,19
322,2,3,4,20
323,0,4,4,21
324,1,3,4,22
325,1,3,4,23
326,0,3,4,24
327,1,2,4,25
328,2,2,4,26
329,0,3,4,27
330,2,2,4,28
331,1,3,4,29
332,1,3,4,30
333,2,3,4,31
334,2,4,4,32
335,0,5,4,33
336,0,4,4,34
337,1,3,4,35
338,1,3,4,36
339,0,3,4,37
340,1,2,4,38
341,2,2,4,39
342,2,3,4,40
343,1,4,4,41
344,0,4,4,42
345,1,3,4,43
346,1,3,4,44
347,0,3,4,45
348,0,2,4,46
349,2,1,4,47
350,2,2,4,48
351,0,3,4,49
352,2,2,4,50
353,1,3,4,51
354,2,3,4,52
355,1,4,4,53
356,0,4,4,54
357,0,3,4,55
358,1,2,4,56
359,2,2,4,57
360,2,3,4,58
361,0,4,4,59
362,0,3,4,60
363,2,2,4,61
364,1,3,4,62
365,1,3,4,63
366,1,3,4,64
367,2,3,4,65
368,1,4,4,66
369,0,4,4,67
370,2,3,4,68
371,0,4,4,69
372,1,3,4,70
373,1,3,4,71
374,2,3,4,72
375,0,4,4,73
376,2,3,4,74
377,1,4,4,75
378,1,4,4,76
379,2,4,4,77
380,0,5,4,78
381,0,4,4,79
382,1,3,4,80
383,1,3,4,81
384,1,3,4,82
385,0,3,4,83
386,0,2,4,84
387,2,1,4,85
388,2,2,4,86
389,1,3,4,87
390,1,3,4,88
391,1,3,4,89
392,1,3,4,90
393,1,3,4,91
394,1,3,4,92
395,1,3,4,93
396,2,3,4,94
397,0,4,4,95
398,0,3,4,96
399,2,2,4,97
400,1,3,4,98
401,1,3,4,99
402,1,3,4,100
403,0,8,5,0
404,0,8,5,1
405,1,7,5,2
406,2,7,5,3
407,0,8,5,4
408,0,7,5,5
409,1,6,5,6
410,2,6,5,7
411,1,7,5,8
412,0,7,5,9
413,0,6,5,10
414,0,5,5,11
415,1,4,5,12
416,0,4,5,13
417,1,3,5,14
418,1,3,5,15
419,0,3,5,16
420,0,2,5,17
421,2,1,5,18
422,2,2,5,19
423,1,3,5,20
424,1,3,5,21
425,2,3,5,22
426,0,4,5,23
427,1,3,5,24
428,1,3,5,25
429,2,3,5,26
430,1,4,5,27
431,0,4,5,28
432,1,3,5,29
433,0,3,5,30
434,0,2,5,31
435,2,1,5,32
436,2,2,5,33
437,1,3,5,34
438,2,3,5,35
439,0,4,5,36
440,1,3,5,37
441,0,3,5,38
442,2,2,5,39
443,1,3,5,40
444,2,3,5,41
445,0,4,5,42
446,1,3,5,43
447,1,3,5,44
448,1,3,5,45
449,1,3,5,46
450,1,3,5,47
451,1,3,5,48
452,1,3,5,49
453,1,3,5,50
454,1,3,5,51
455,0,3,5,52
456,2,2,5,53
457,2,3,5,54
458,0,4,5,55
459,0,3,5,56
460,2,2,5,57
461,1,3,5,58
462,0,3,5,59
463,2,2,5,60
464,0,3,5,61
465,2,2,5,62
466,1,3,5,63
467,1,3,5,64
468,1,3,5,65
469,1,3,5,66
470,1,3,5,67
471,1,3,5,68
472,0,3,5,69
473,1,2,5,70
474,2,2,5,71
475,1,3,5,72
476,1,3,5,73
477,1,3,5,74
478,1,3,5,75
479,1,3,5,76
480,1,3,5,77
481,1,3,5,78
482,1,3,5,79
483,2,3,5,80
484,0,4,5,81
485,1,3,5,82
486,1,3,5,83
487,1,3,5,84
488,1,3,5,85
489,1,3,5,86
490,1,3,5,87
491,1,3,5,88
492,0,3,5,89
493,2,2,5,90
494,1,3,5,91
495,1,3,5,92
496,1,3,5,93
497,1,3,5,94
498,1,3,5,95
499,1,3,5,96
500,1,3,5,97
501,1,3,5,98
502,1,3,5,99
503,1,3,5,100
504,0,8,6,0
505,0,8,6,1
506,1,7,6,2
507,0,7,6,3
508,1,6,6,4
509,0,6,6,5
510,0,5,6,6
511,2,4,6,7
512,1,5,6,8
513,0,5,6,9
514,0,4,6,10
515,1,3,6,11
516,2,3,6,12
517,0,4,6,13
518,1,3,6,14
519,1,3,6,15
520,1,3,6,16
521,1,3,6,17
522,1,3,6,18
523,1,3,6,19
524,1,3,6,20
525,1,3,6,21
526,1,3,6,22
527,1,3,6,23
528,0,3,6,24
529,2,2,6,25
530,1,3,6,26
531,2,3,6,27
532,0,4,6,28
533,2,3,6,29
534,0,4,6,30
535,1,3,6,31
536,1,3,6,32
537,1,3,6,33
538,0,3,6,34
539,2,2,6,35
540,1,3,6,36
541,1,3,6,37
542,2,3,6,38
543,2,4,6,39
544,0,5,6,40
545,0,4,6,41
546,1,3,6,42
547,1,3,6,43
548,1,3,6,44
549,2,3,6,45
550,0,4,6,46
551,1,3,6,47
552,1,3,6,48
553,1,3,6,49
554,1,3,6,50
555,1,3,6,51
556,2,3,6,52
557,2,4,6,53
558,0,5,6,54
559,2,4,6,55
560,0,5,6,56
561,0,4,6,57
562,1,3,6,58
563,1,3,6,59
564,1,3,6,60
565,1,3,6,61
566,1,3,6,62
567,1,3,6,63
568,1,3,6,64
569,1,3,6,65
570,1,3,6,66
