,er,er_80,er_80c,er_90,er_90c,er_95,er_95c,ts_80,ts_80c,ts_90,ts_90c,ts_95,ts_95c
0,0.272727280855,0.181818187237,0.20000000298,0.222222223878,0.181818187237,0.206896558404,0.230769231915,22,20,27,22,29,26
1,0.323232322931,0.296296298504,0.304347813129,0.275862067938,0.296296298504,0.266666680574,0.285714298487,27,23,29,27,30,28
2,0.292929291725,0.300000011921,0.368421047926,0.37209302187,0.347826093435,0.375,0.333333343267,30,19,43,23,48,24
3,0.343434333801,0.307692319155,0.277777791023,0.285714298487,0.315789461136,0.392156869173,0.300000011921,26,18,28,19,51,20
4,0.272727280855,0.125,0.176470592618,0.25925925374,0.260869562626,0.24137930572,0.280000001192,16,17,27,23,29,25
5,0.272727280855,0.133333340287,0.133333340287,0.117647059262,0.117647059262,0.105263158679,0.105263158679,15,15,17,17,19,19
6,0.292929291725,0.0,0.0,0.0,0.0,0.095238097012,0.095238097012,14,14,16,16,21,21
7,0.272727280855,0.388888895512,0.423076927662,0.368421047926,0.428571432829,0.357142865658,0.40000000596,36,26,38,28,42,30
8,0.353535354137,0.260869562626,0.222222223878,0.285714298487,0.260869562626,0.303030312061,0.25,23,18,28,23,33,24
9,0.282828271389,0.0625,0.0588235296309,0.0555555559695,0.0555555559695,0.0526315793395,0.0526315793395,16,17,18,18,19,19
10,0.313131302595,0.260869562626,0.315789461136,0.239999994636,0.260869562626,0.24137930572,0.239999994636,23,19,25,23,29,25
11,0.282828271389,0.227272734046,0.227272734046,0.266666680574,0.260869562626,0.25,0.285714298487,22,22,30,23,32,28
12,0.333333343267,0.275862067938,0.307692319155,0.258064508438,0.296296298504,0.277777791023,0.275862067938,29,26,31,27,36,29
13,0.343434333801,0.307692319155,0.307692319155,0.300000011921,0.310344815254,0.305555552244,0.300000011921,26,26,30,29,36,30
14,0.252525240183,0.260869562626,0.1875,0.239999994636,0.272727280855,0.272727280855,0.25,23,16,25,22,33,24
15,0.343434333801,0.272727280855,0.285714298487,0.25,0.272727280855,0.230769231915,0.260869562626,22,21,24,22,26,23
16,0.292929291725,0.280000001192,0.263157904148,0.25925925374,0.280000001192,0.24137930572,0.269230782986,25,19,27,25,29,26
17,0.303030312061,0.117647059262,0.125,0.142857149243,0.111111111939,0.159999996424,0.142857149243,17,16,21,18,25,21
18,0.252525240183,0.266666680574,0.235294118524,0.25,0.260869562626,0.235294118524,0.269230782986,30,17,32,23,34,26
19,0.323232322931,0.351351350546,0.133333340287,0.333333343267,0.166666671634,0.31707316637,0.346153855324,37,15,39,18,41,26
20,0.222222223878,0.235294118524,0.25,0.210526317358,0.235294118524,0.217391297221,0.210526317358,17,16,19,17,23,19
21,0.39393940568,0.333333343267,0.363636374474,0.371428579092,0.333333343267,0.375,0.346153855324,24,22,35,24,40,26
22,0.272727280855,0.25,0.272727280855,0.230769231915,0.260869562626,0.214285716414,0.25,24,22,26,23,28,24
23,0.313131302595,0.280000001192,0.333333343267,0.324324309826,0.304347813129,0.346938788891,0.280000001192,25,21,37,23,49,25
24,0.292929291725,0.35897436738,0.354838699102,0.355555564165,0.378378391266,0.340425521135,0.355555564165,39,31,45,37,47,45
25,0.323232322931,0.425925940275,0.285714298487,0.410714298487,0.357142865658,0.403508782387,0.416666656733,54,21,56,28,57,36
26,0.202020198107,0.0714285746217,0.0714285746217,0.0625,0.0625,0.0555555559695,0.0555555559695,14,14,16,16,18,18
27,0.252525240183,0.333333343267,0.315789461136,0.322580635548,0.333333343267,0.303030312061,0.360000014305,27,19,31,21,33,25
28,0.313131302595,0.321428567171,0.333333343267,0.300000011921,0.321428567171,0.29411765933,0.300000011921,28,27,30,28,34,30
29,0.232323229313,0.190476194024,0.20000000298,0.173913046718,0.181818187237,0.159999996424,0.166666671634,21,20,23,22,25,24
30,0.303030312061,0.333333343267,0.346153855324,0.310344815254,0.333333343267,0.290322571993,0.321428567171,27,26,29,27,31,28
31,0.333333343267,0.409090906382,0.428571432829,0.418181806803,0.409090906382,0.409836053848,0.413043469191,44,42,55,44,61,46
32,0.292929291725,0.0666666701436,0.0714285746217,0.105263158679,0.125,0.130434781313,0.111111111939,15,14,19,16,23,18
33,0.303030312061,0.275862067938,0.176470592618,0.285714298487,0.166666671634,0.270270258188,0.20000000298,29,17,35,18,37,20
34,0.343434333801,0.277777791023,0.3125,0.291666656733,0.277777791023,0.269230782986,0.300000011921,18,16,24,18,26,20
35,0.272727280855,0.1875,0.214285716414,0.166666671634,0.1875,0.157894730568,0.166666671634,16,14,18,16,19,18
36,0.303030312061,0.303030312061,0.333333343267,0.285714298487,0.307692319155,0.282051295042,0.321428567171,33,24,35,26,39,28
37,0.262626260519,0.222222223878,0.235294118524,0.20000000298,0.210526317358,0.25,0.25925925374,18,17,20,19,28,27
38,0.282828271389,0.351351350546,0.25,0.333333343267,0.322580635548,0.340425521135,0.342105269432,37,20,39,31,47,38
39,0.313131302595,0.0666666701436,0.0714285746217,0.142857149243,0.15000000596,0.25,0.142857149243,15,14,21,20,32,21
40,0.232323229313,0.190476194024,0.222222223878,0.25,0.20000000298,0.233333334327,0.190476194024,21,18,28,20,30,21
41,0.262626260519,0.0833333358169,0.0833333358169,0.0714285746217,0.0714285746217,0.0625,0.0625,12,12,14,14,16,16
42,0.333333343267,0.425531923771,0.465116292238,0.425925940275,0.434782594442,0.410714298487,0.4375,47,43,54,46,56,48
43,0.272727280855,0.3125,0.333333343267,0.305555552244,0.3125,0.309523820877,0.314285725355,32,30,36,32,42,35
44,0.313131302595,0.342105269432,0.361111104488,0.367346942425,0.35897436738,0.352941185236,0.360000014305,38,36,49,39,51,50
45,0.272727280855,0.111111111939,0.0666666701436,0.136363640428,0.111111111939,0.130434781313,0.136363640428,18,15,22,18,23,22
46,0.262626260519,0.176470592618,0.176470592618,0.190476194024,0.20000000298,0.173913046718,0.181818187237,17,17,21,20,23,22
47,0.323232322931,0.333333343267,0.347826093435,0.310344815254,0.346153855324,0.303030312061,0.333333343267,27,23,29,26,33,27
48,0.262626260519,0.222222223878,0.222222223878,0.20000000298,0.20000000298,0.333333343267,0.333333343267,18,18,20,20,36,36
49,0.313131302595,0.25925925374,0.280000001192,0.258064508438,0.25925925374,0.318181812763,0.266666680574,27,25,31,27,44,30
50,0.323232322931,0.411764711142,0.416666656733,0.394736856222,0.405405402184,0.375,0.394736856222,34,36,38,37,40,38
51,0.222222223878,0.190476194024,0.176470592618,0.173913046718,0.166666671634,0.185185179114,0.181818187237,21,17,23,18,27,22
52,0.252525240183,0.25,0.260869562626,0.25,0.25,0.233333334327,0.239999994636,24,23,28,24,30,25
53,0.313131302595,0.239999994636,0.238095238805,0.297297298908,0.227272734046,0.282051295042,0.239999994636,25,21,37,22,39,25
54,0.303030312061,0.360000014305,0.428571432829,0.333333343267,0.391304343939,0.322580635548,0.360000014305,25,21,27,23,31,25
55,0.303030312061,0.285714298487,0.3125,0.260869562626,0.333333343267,0.239999994636,0.285714298487,21,16,23,18,25,21
56,0.282828271389,0.375,0.387096762657,0.361111104488,0.375,0.357142865658,0.39393940568,32,31,36,32,42,33
57,0.272727280855,0.0666666701436,0.0666666701436,0.0588235296309,0.0625,0.0526315793395,0.0588235296309,15,15,17,16,19,17
58,0.292929291725,0.310344815254,0.333333343267,0.290322571993,0.319999992847,0.272727280855,0.307692319155,29,24,31,25,33,26
59,0.313131302595,0.351351350546,0.321428567171,0.333333343267,0.310344815254,0.31707316637,0.371428579092,37,28,39,29,41,35
60,0.353535354137,0.361111104488,0.375,0.34999999404,0.346153855324,0.340909093618,0.344827592373,36,24,40,26,44,29
61,0.383838385344,0.4375,0.466666668653,0.423076927662,0.428571432829,0.416666656733,0.439999997616,48,45,52,49,60,50
62,0.292929291725,0.238095238805,0.25,0.217391297221,0.227272734046,0.208333328366,0.208333328366,21,20,23,22,24,24
63,0.303030312061,0.25,0.285714298487,0.28125,0.272727280855,0.264705896378,0.260869562626,24,21,32,22,34,23
64,0.262626260519,0.217391297221,0.217391297221,0.24137930572,0.25925925374,0.225806444883,0.233333334327,23,23,29,27,31,30
65,0.262626260519,0.342105269432,0.300000011921,0.324999988079,0.285714298487,0.318181812763,0.318181812763,38,20,40,21,44,22
66,0.333333343267,0.300000011921,0.310344815254,0.324999988079,0.3125,0.318181812763,0.333333343267,30,29,40,32,44,36
67,0.282828271389,0.117647059262,0.190476194024,0.173913046718,0.181818187237,0.159999996424,0.173913046718,17,21,23,22,25,23
68,0.343434333801,0.384615391493,0.375,0.365853667259,0.392857134342,0.348837196827,0.340909093618,39,24,41,28,43,44
69,0.222222223878,0.166666671634,0.176470592618,0.15000000596,0.166666671634,0.142857149243,0.157894730568,18,17,20,18,21,19
70,0.252525240183,0.0714285746217,0.0714285746217,0.0625,0.0625,0.0555555559695,0.0555555559695,14,14,16,16,18,18
71,0.282828271389,0.181818187237,0.20000000298,0.166666671634,0.190476194024,0.178571432829,0.181818187237,22,20,24,21,28,22
72,0.282828271389,0.260869562626,0.315789461136,0.239999994636,0.300000011921,0.222222223878,0.272727280855,23,19,25,20,27,22
73,0.303030312061,0.235294118524,0.266666680574,0.210526317358,0.235294118524,0.190476194024,0.210526317358,17,15,19,17,21,19
74,0.272727280855,0.40000000596,0.34999999404,0.40000000596,0.375,0.380952388048,0.37209302187,35,20,40,24,42,43
75,0.252525240183,0.238095238805,0.25,0.239999994636,0.239999994636,0.222222223878,0.222222223878,21,24,25,25,27,27
76,0.323232322931,0.239999994636,0.1875,0.222222223878,0.222222223878,0.242424249649,0.24137930572,25,16,27,27,33,29
77,0.353535354137,0.425531923771,0.441176474094,0.411764711142,0.457142859697,0.403508782387,0.449999988079,47,34,51,35,57,40
78,0.242424249649,0.125,0.117647059262,0.111111111939,0.105263158679,0.136363640428,0.136363640428,16,17,18,19,22,22
79,0.323232322931,0.239999994636,0.1875,0.315789461136,0.222222223878,0.318181812763,0.238095238805,25,16,38,18,44,21
80,0.363636374474,0.404761910439,0.378378391266,0.395833343267,0.394736856222,0.388888895512,0.410256415606,42,37,48,38,54,39
81,0.323232322931,0.342105269432,0.333333343267,0.324999988079,0.310344815254,0.31707316637,0.333333343267,38,27,40,29,41,30
82,0.262626260519,0.280000001192,0.222222223878,0.323529422283,0.322580635548,0.333333343267,0.34375,25,18,34,31,39,32
83,0.373737365007,0.344827592373,0.318181812763,0.322580635548,0.319999992847,0.314285725355,0.333333343267,29,22,31,25,35,30
84,0.242424249649,0.323529422283,0.319999992847,0.315789461136,0.346153855324,0.300000011921,0.324324309826,34,25,38,26,40,37
85,0.303030312061,0.285714298487,0.176470592618,0.305555552244,0.260869562626,0.289473682642,0.275862067938,28,17,36,23,38,29
86,0.363636374474,0.238095238805,0.25,0.25925925374,0.272727280855,0.258064508438,0.280000001192,21,20,27,22,31,25
87,0.292929291725,0.208333328366,0.263157904148,0.24137930572,0.25,0.225806444883,0.227272734046,24,19,29,20,31,22
88,0.262626260519,0.157894730568,0.176470592618,0.173913046718,0.173913046718,0.159999996424,0.166666671634,19,17,23,23,25,24
89,0.303030312061,0.333333343267,0.319999992847,0.315789461136,0.34375,0.309523820877,0.342857152224,36,25,38,32,42,35
90,0.282828271389,0.280000001192,0.304347813129,0.323529422283,0.291666656733,0.315789461136,0.310344815254,25,23,34,24,38,29
91,0.373737365007,0.425531923771,0.431034475565,0.423728823662,0.423728823662,0.416666656733,0.416666656733,47,58,59,59,60,60
92,0.313131302595,0.269230782986,0.25,0.25,0.275862067938,0.285714298487,0.300000011921,26,28,28,29,35,30
93,0.272727280855,0.296296298504,0.1875,0.275862067938,0.291666656733,0.258064508438,0.296296298504,27,16,29,24,31,27
94,0.313131302595,0.260869562626,0.1875,0.303030312061,0.222222223878,0.285714298487,0.3125,23,16,33,18,35,32
95,0.212121218443,0.227272734046,0.176470592618,0.208333328366,0.210526317358,0.214285716414,0.208333328366,22,17,24,19,28,24
96,0.353535354137,0.370370358229,0.357142865658,0.344827592373,0.333333343267,0.322580635548,0.3125,27,28,29,30,31,32
97,0.333333343267,0.280000001192,0.142857149243,0.25925925374,0.269230782986,0.324999988079,0.25925925374,25,14,27,26,40,27
98,0.353535354137,0.347826093435,0.388888895512,0.344827592373,0.380952388048,0.333333343267,0.347826093435,23,18,29,21,33,23
99,0.303030312061,0.390243887901,0.40000000596,0.382978737354,0.392857134342,0.379999995232,0.379310339689,41,25,47,28,50,29
100,0.252525240183,0.296296298504,0.291666656733,0.275862067938,0.285714298487,0.285714298487,0.275862067938,27,24,29,28,35,29
101,0.292929291725,0.3125,0.333333343267,0.29411765933,0.3125,0.277777791023,0.29411765933,32,30,34,32,36,34
102,0.313131302595,0.25,0.25,0.28125,0.239999994636,0.264705896378,0.269230782986,24,24,32,25,34,26
103,0.323232322931,0.300000011921,0.333333343267,0.272727280855,0.300000011921,0.285714298487,0.285714298487,20,18,22,20,28,21
104,0.262626260519,0.0714285746217,0.0714285746217,0.0625,0.0625,0.0555555559695,0.0555555559695,14,14,16,16,18,18
105,0.313131302595,0.20000000298,0.20000000298,0.181818187237,0.181818187237,0.192307695746,0.208333328366,20,20,22,22,26,24
106,0.353535354137,0.260869562626,0.263157904148,0.239999994636,0.272727280855,0.222222223878,0.25,23,19,25,22,27,24
107,0.303030312061,0.310344815254,0.319999992847,0.314285725355,0.310344815254,0.315789461136,0.300000011921,29,25,35,29,38,30
108,0.404040396214,0.357142865658,0.277777791023,0.377358496189,0.34375,0.363636374474,0.363636374474,42,18,53,32,55,33
